rcid,mean_beta,q025,q975
2491,0.8315367852438065,0.6410619615021944,1.0314083109741803
2492,-0.7184181312743094,-1.0107163375874317,-0.4593728990750096
2497,0.7679847418184543,0.5525132626742183,1.003762944636289
2504,-2.4116197232244643,-3.4947406408275743,-1.6283279895943106
2510,-1.8228517981719847,-2.661200844891584,-1.2310116470339019
2526,-2.1598090138562003,-2.7892604488294617,-1.5808912420174936
2563,0.7136959341358035,0.5033024238465499,0.9407625519011091
2610,-0.47523846442514317,-0.6804681567932832,-0.2654367985967392
2641,0.7461399859127483,0.5427431848625303,0.9593913690842736
2645,0.7306706101033481,0.5486797271319633,0.9393375235643356
2667,-2.2524585749796593,-2.959963010338872,-1.6875497513349238
2668,-2.170515265247561,-2.843585000097268,-1.5830884798461173
2689,0.633975110845589,0.44758526056319625,0.8344524486014091
2758,-0.42618752425595585,-0.6048933833047859,-0.24645721713653684
2774,-1.3004284550998144,-1.8578538259699957,-0.8267029461550859
2790,-1.5102527903796754,-2.1984366760558913,-1.01348893688168
2793,0.7084764619727163,0.5170384902941306,0.945879706636375
2795,0.6589837672529097,0.4514281459265641,0.875531232931061
2839,0.5886934483669934,0.3908899921691928,0.8354284769808291
2855,-0.9875997527069736,-1.4129876217249238,-0.6373722532266577
2865,0.7279064144693398,0.5284482719502879,1.0088255377745456
2868,0.5791723916184779,0.371956579263935,0.7987753504173044
2915,-2.3563964837272744,-3.2900008102704534,-1.7330536700375472
2924,-0.6410561187935371,-0.9541658354054688,-0.43621854359245044
2938,-0.10030068671084143,-0.26180846802060614,0.07488303743026406
2948,0.6549109255263319,0.47493960583231104,0.8435206394031934
2957,-0.6581205880499391,-0.9134115339661466,-0.4170867099662335
2958,0.5962685625531706,0.4301931273465034,0.8387174023579391
2967,-1.8149676727550514,-2.364251672473409,-1.3374405705862702
2968,-1.0748687273964783,-1.5299471258273307,-0.7826586214824701
2996,0.14801070182964357,-0.04235880861875233,0.3182423790412638
3075,0.6940110988864295,0.5100658665659896,0.8982798338362837
3078,-2.2426806688089487,-2.9665145852561015,-1.5373602954723757
3098,-0.1535104124626423,-0.34228323789628917,0.020717130468681323
3099,-0.0051692849381833154,-0.21701109285513753,0.16215151954663565
3102,0.5909857526899438,0.39174914163478186,0.8165644878664862
3110,0.5313388791868273,0.3376160249241975,0.7207064469694539
3118,-1.9000002492197106,-2.5494066996950013,-1.336820804402666
3189,-1.1288895905992542,-1.4396527594763804,-0.8128357408406093
3199,0.6766654618125574,0.49264906855807067,0.8816574155217755
3200,0.5953244235165304,0.36635789971897276,0.819311895732689
3225,-0.7024377332266838,-0.9113659325447757,-0.4627482401986839
3237,-1.3975208105849166,-1.83950853016157,-0.9841362173287973
3243,-0.915335568761586,-1.4589092503461112,-0.4705741686608349
3249,-0.656030242676762,-0.8791597450870523,-0.43937004414537945
3254,0.43379202655149707,0.28094872705440793,0.5952714565709204
3347,-0.8660153992583226,-1.1734309177729587,-0.5860188829428747
3357,0.600208358098456,0.4033372109772728,0.818297389792023
3372,-1.236087595760297,-1.6655551350085216,-0.8879549222807539
3379,-0.996116032383918,-1.6348682769003668,-0.4526411418489409
3391,0.28392595432959633,0.10382218274532205,0.45849048863300584
3407,-1.821781096569417,-2.3459843669885245,-1.3036041276761077
3408,-1.304958139471391,-1.6898531170793356,-0.9404409959161047
3414,-0.5832089890931075,-0.809618822273985,-0.361628433528168
3415,-1.065429646022198,-1.649704209770864,-0.5075368879378116
3431,-1.9299725621272024,-2.686100185410431,-1.3507105104063435
3444,-1.8701973175689774,-2.6542028935134807,-1.1672475968391811
3445,-1.8677182689960552,-2.7192292086405714,-1.2776147410857015
3450,-1.2904045614600923,-1.9846816387421917,-0.691185797740168
3469,-2.2286033431267804,-2.95967766320671,-1.5560796145302573
3478,-2.0789975322231853,-2.8578200726058967,-1.39199283456405
3488,-1.3859611734622168,-2.1678563756130043,-0.727708413507778
3496,-0.6598752360228495,-0.9135083578535317,-0.42117171692945493
3500,-0.8933898288218951,-1.187630469958364,-0.5875841854627727
3517,-0.7858964286216,-1.1643308077261953,-0.4230123091057662
3525,0.14346927896648803,-0.0074072617736842695,0.29107481305723143
3544,-1.1505206019224004,-1.8503979131365935,-0.5332822129066974
3565,-1.5624720190215375,-2.10259951822917,-1.147743769163831
3566,-1.3232892274752035,-1.683125219653444,-0.9598996794504612
3575,0.1207052848036481,-0.04827756450733651,0.2923463196171895
3578,-0.7323422657669336,-1.2046673675633257,-0.3754410582901342
3586,-0.33186118670691805,-0.6377299720043139,-0.07971119005025741
3589,-0.08024402818946205,-0.26623799505759693,0.09655903830102816
3594,-1.8233877969080705,-2.821534214438571,-0.983783089862431
3602,-0.3249835780620106,-0.6395772621210232,-0.07459505327735964
3611,-1.1681738855312995,-1.8573430953551713,-0.544854818505321
3637,-1.3638041396095113,-1.7901058146594453,-0.9720146795484707
3644,-1.556364970822259,-2.035512664068883,-1.1229362087285744
3647,0.4583485522524529,0.2990954880577726,0.6439331999324716
3654,-0.7394916898659118,-1.3743313271505122,-0.3793498899849115
3655,0.13815965563686064,-0.024586713978988747,0.2921249459522724
3660,-1.5567513141965412,-2.100907772104786,-1.070627577261066
3663,0.047303718162384864,-0.0886870099490089,0.18563431472859648
3664,-0.11780384134546294,-0.3070130623473059,0.03379367691782875
3670,-0.5594869871416425,-0.7724222481472636,-0.3888100326605812
3676,-0.9581763148113239,-1.507436261082437,-0.476419618840583
