country,session_idx,year,mean_theta,q025,q975
AFG,0,1974,0.5774941006543032,0.0569593034031497,1.1433217748583817
AFG,1,1975,0.6053510191465672,0.23447401828162423,1.1546584033422145
AFG,2,1976,0.6346794462778966,0.2760737634057556,1.0916745178328995
AFG,3,1977,0.6509558834290191,0.27773559664613634,1.2009663281805605
AFG,4,1978,0.6768959464418856,0.3115686179693923,1.1191603114370947
AFG,5,1979,0.6976319272954378,0.3417403475432182,1.1596986425284237
AFG,6,1980,0.7229458619448612,0.40817009513954944,1.155024856290764
AFG,7,1981,0.7419391346914265,0.42482177414109673,1.359766533124946
AFG,8,1982,0.7895209727624514,0.4247066256045082,1.5317065030796626
AFG,9,1983,0.7950754806732232,0.4981328090179949,1.4785164948224854
AFG,10,1984,0.7961764614655368,0.42047305960561665,1.5934099388472784
AFG,11,1985,0.79022163437469,0.4628398936729665,1.3534530839918872
AFG,12,1986,0.7795826452416907,0.42545970387861504,1.3830355488312693
AFG,13,1987,0.803674263197869,0.5102761693134796,1.510200782074478
AFG,14,1988,0.8160852063832432,0.4760651181773297,1.4876417521003626
AFG,15,1989,0.8220939149118285,0.4377580776209034,1.5513977032423654
AFG,16,1990,0.821660961804837,0.42811933940769126,1.5252668772853555
AFG,17,1991,0.8020485709725681,0.4233758026178574,1.7259440281883556
AFG,18,1992,0.7685195177294973,0.40780366274628627,1.5150088676318996
AFG,19,1993,0.7476772536162971,0.42733361282696686,1.5125181374861147
AFG,20,1994,0.770238213988472,0.4409732154587483,1.4864701140064265
AFG,21,1995,0.7816288672768846,0.43787702814003643,1.4615682855505394
AFG,22,1996,0.8147423562997034,0.360774818129722,1.7649627032204191
AFG,23,1997,0.8402588559111855,0.41247690736345705,1.789682316959321
AFG,24,1998,0.8810795850530276,0.44194454165504493,1.8260239667316593
AFG,25,1999,0.9177724713228624,0.4645614395835216,1.9400793980214777
AFG,26,2000,0.942200421171746,0.5321861836247098,2.041924271835847
AFG,27,2001,0.9648919826677322,0.4552065409272847,2.1797853056879517
AFG,28,2002,0.9575023901612136,0.4809547501866812,1.8130652074172973
AFG,29,2003,0.9589420882571998,0.4692395422062091,1.9553935323742715
AFG,30,2004,0.944837603335424,0.5870841054730368,1.673919197907933
AFG,31,2005,0.9736588789462646,0.5256936956554913,1.9121449019707975
AFG,32,2006,0.9782829701464112,0.5098990690538133,1.9601143200186144
AFG,33,2007,0.9839388300870969,0.5184560882466732,2.042063120390817
AFG,34,2008,0.9941575815592953,0.5867970069907776,1.9207971685292156
AFG,35,2009,0.9975818666966157,0.5426944252463087,1.8139469255584406
AFG,36,2010,1.0057625096232121,0.5691261918983027,2.007335939306544
AFG,37,2011,1.0121280729690008,0.5523845179107209,2.017344519363697
AFG,38,2012,1.0071430309280096,0.5501757890523857,2.0761279707489733
AFG,39,2013,1.0228021734121522,0.5318630739872623,2.0428763252274957
AFG,40,2014,1.0289952398724234,0.5406352081130613,2.0887633667759267
AFG,41,2015,1.009399152354822,0.555244932142303,1.9201877792112683
AFG,42,2016,1.01670130739946,0.5163347656205044,2.105988082090751
AFG,43,2017,1.0119488966339047,0.562617207192485,2.067284033658124
AFG,44,2018,0.9915798305756947,0.4799391895039056,1.987915640986996
AFG,45,2019,0.9985995737883845,0.4862157529631147,2.1238964047920184
AFG,46,2020,0.9957288109733005,0.5042190660285055,2.1677534769276954
AFG,47,2021,1.0015415768482514,0.4501011797773661,2.1481247112006248
AFG,48,2023,1.0076611078272661,0.4347031006587172,2.1132197861871087
AFG,49,2023,1.0052863156540632,0.4266411407866302,2.1711739610212772
AFG,50,2024,0.9905907480275493,0.3925286092351315,2.1371699837499034
AFG,51,2025,0.9947461377196913,0.23730810069409763,2.2520088435294094
AGO,0,1974,0.6859861072068821,-0.039082441766796504,1.5413706397107005
AGO,1,1975,0.6817085410591016,-0.040980161016203887,1.448803415017155
AGO,2,1976,0.6907555952565154,-0.0673583411683,1.6030798819963539
AGO,3,1977,0.6942073235268182,0.1526223161799341,1.2938049627122947
AGO,4,1978,0.7125653696621361,0.1385186055007491,1.281340542380246
AGO,5,1979,0.7262859635890025,0.31681287351476994,1.2716196163390416
AGO,6,1980,0.7434307218907589,0.41103340864686577,1.2753484974867295
AGO,7,1981,0.7636280036546441,0.423678701610697,1.4537741408065934
AGO,8,1982,0.7990712988435904,0.43817925131383,1.3909238149359873
AGO,9,1983,0.8006842090861316,0.48178173597750074,1.3946459104989688
AGO,10,1984,0.8101495929487388,0.5059619932815624,1.4829872077213548
AGO,11,1985,0.8063173997039381,0.4032179869615644,1.614137818857659
AGO,12,1986,0.8199792739895724,0.4703942404296674,1.4416725438350082
AGO,13,1987,0.8325610372921936,0.4810130153608971,1.5711939932959882
AGO,14,1988,0.8372456235566542,0.4794438852941173,1.5697764762972564
AGO,15,1989,0.8425276059837778,0.551887737133239,1.5258612810046994
AGO,16,1990,0.866585300506503,0.4832826235726638,1.4581960848443338
AGO,17,1991,0.8774404281112698,0.47681110060797444,1.650084621485545
AGO,18,1992,0.9169360788863463,0.5093333292693436,1.6908871692775191
AGO,19,1993,0.9943588765164658,0.5474087737596621,1.9445029394151772
AGO,20,1994,1.0637425506433438,0.6217164835538344,2.172265229128729
AGO,21,1995,1.0540674749133008,0.6063960972950443,2.0919647278015536
AGO,22,1996,1.028413546108222,0.5838601665850052,1.844537353703189
AGO,23,1997,1.058664618900032,0.5943111188297069,1.9264544857954293
AGO,24,1998,1.0881590745256753,0.6269443132947637,2.1397361451389623
AGO,25,1999,1.1263189516832486,0.6720062161621734,2.146444645309449
AGO,26,2000,1.220048157260071,0.6742888708380185,2.4975624097163793
AGO,27,2001,1.212571994053519,0.7478335058022213,2.312486392661287
AGO,28,2002,1.1616833023635524,0.6711528769592139,2.354047446129375
AGO,29,2003,1.153015587345785,0.5761297457949877,2.475407536849991
AGO,30,2004,1.1344952827397456,0.6520315181681017,2.491654167006252
AGO,31,2005,1.1162232053179557,0.6296257820697122,2.1266183926907845
AGO,32,2006,1.1407379113779994,0.6309918214807584,2.395125413283792
AGO,33,2007,1.1424412443459488,0.5989913753259325,2.480047758702629
AGO,34,2008,1.1196801415094773,0.6135301038652051,2.3171308401202113
AGO,35,2009,1.1020137811474073,0.613719355579724,2.263267242256846
AGO,36,2010,1.1187288605390049,0.5896604486764179,2.1705898788440057
AGO,37,2011,1.1224677708710495,0.638431758685621,2.221757639868692
AGO,38,2012,1.0756613291777206,0.6005352010200192,1.934896329756998
AGO,39,2013,1.0448325558201959,0.6094705684444097,2.018434786835425
AGO,40,2014,1.0393803288868508,0.5611595239197579,2.2319227240171218
