,year,text,party
0,1960,"They have admitted that the Soviet Union leads in the space race and that they have no plans to catch up. They have also admitted that our conventional military forces, on which we depend for defense in any non-nuclear war, have been dangerously slashed for reasons of ""economy"" and that they have no plans to reverse this trend. As a result, our military position today is measured in terms of gaps, missile gap, space gap, limited-war gap. To recover from the errors of the past seven and one-half years will not be easy. This is the strength that must be erected: 1. Deterrent military power such that the Soviet and Chinese leaders will have no doubt that an attack on the United States would surely be followed by their own destruction. 2. Balanced conventional military forces which will permit a response graded to the intensity of any threats of aggressive force. 3. Continuous modernization of these forces through intensified research and development, including essential programs now slowed down, terminated, suspended, or neglected for lack of budgetary support. A first order of business of a Democratic Administration will be a complete re-examination of the organization of our armed forces. A military organization structure, conceived before the revolution in weapons technology, cannot be suitable for the strategic deterrent, continental defense, limited war, and military alliance requirements of the nineteen sixties. We believe that our armed forces should be organized more nearly on the basis of function, not only to produce greater military strength, but also to eliminate duplication and save substantial sums. We pledge our will, energies and resources to oppose Communist aggression. Since World War II it has been clear that our own security must be pursued in concert with that of many other nations. The Democratic Administrations which in World War II led in forging a mighty and victorious alliance, took the initiative after the war in creating the North Atlantic Treaty Organization-- the greatest peacetime alliance in history. This alliance has made it possible to keep Western Europe and the Atlantic Community secure against Communist pressures. Our present system of alliances was begun in a time of an earlier weapons technology when our ability to retaliate against Communist attack required bases all around the periphery of the Soviet Union. Today, because of our continuing weakness in mobile weapons systems and intercontinental missiles, our defenses still depend in part on bases beyond our borders for planes and shorter range missiles. If an alliance is to be maintained in vigor, its unity must be reflected in shared purposes. Some of our allies have contributed neither devotion to the cause of freedom nor any real military strength. The new Democratic Administration will undertake a full review and analysis of the programs that should be adopted if the protection possible is to be provided to the civilian population of our nation. ARMS CONTROL A fragile power balance sustained by mutual nuclear terror does not, however, constitute peace. We must regain the initiative on the entire international front with effective new policies to create the conditions for peace. There are no simple solutions to the infinitely complex challenges which face us. Mankind's eternal dream, a world of peace, can only be built slowly and patiently. A primary task is to develop responsible proposals that will help break the deadlock on arms control. Such proposals should include means for ending nuclear tests under workable safeguards, cutting back nuclear weapons, reducing conventional forces, preserving outer space for peaceful purposes, preventing surprise attack, and limiting the risk of accidental war. This requires a national peace agency for disarmament planning and research to muster the scientific ingenuity, coordination, continuity, and seriousness of purpose which are now lacking in our arms control efforts. The national peace agency would develop the technical and scientific data necessary for serious disarmament negotiations, would conduct research in cooperation with the Defense Department and Atomic Energy Commission on methods of inspection and monitoring arms control agreements particularly agreements to control nuclear testing, and would provide continuous technical advice to our disarmament negotiators. As with armaments, so with disarmaments, the Republican Administration has provided us with much talk but little constructive action. Representatives of the United States have gone to conferences without plans or preparation. The Administration has played opportunistic politics, both at home and abroad. Even during the recent important negotiations at Geneva and Paris, only a handful of people were devoting full time to work on the highly complex problem of disarmament. More than 100 billion dollars of the world's production now goes each year into armaments. In the Middle East we will work for guarantees to insure independence for all states. We will encourage direct Arab Israeli peace negotiations, the resettlement of Arab refugees in lands where there is room and opportunity for them, an end to boycotts and blockades, and unrestricted use of the Suez Canal by all nations. A billion and a half people in Asia, Africa, and Latin America are engaged in an unprecedented attempt to propel themselves into the 20th Century. They are striving to create or reaffirm their national identity. But they want much more than independence. They want an end to grinding poverty. They want more food, health for themselves and their children, and other benefits that a modern industrial civilization can provide. Communist strategy has sought to divert these aspirations into narrowly nationalistic channels, or external troublemaking, or authoritarianism. The Republican Administration has played into the hands of this strategy by concerning itself almost exclusively with the military problem of Communist invasion. The Democratic programs of economic cooperation will be aimed at making it as easy as possible for the political leadership in these countries to turn the energy, talent and resources of their peoples to orderly economic growth. The Democratic Administration will take steps to recruit and organize effectively the best business talent in America for foreign economic development. We urge continued economic assistance to Israel and the Arab peoples to help them raise their living standards. We pledge our best efforts for peace in the Middle East by seeking to prevent an arms race while guarding against the dangers of a military imbalance resulting from Soviet arms shipments. THE ATLANTIC COMMUNITY To our friends and associates in the Atlantic Community: We propose a broader partnership that goes beyond our common fears to recognize the depth and sweep of our common political, economic, and cultural interests. We welcome the recent heartening advances toward European unity. But the Republican Administration has rejected this principle of bi partisanship. We have already seen how the mutual trust and confidence created abroad under Democratic leadership have been eroded by arrogance, clumsiness, and lack of understanding in the Republican Administration. The new Democratic Administration will restore the former high levels of cooperation within the Atlantic Community envisaged from the beginning by the NATO treaty in political and economic spheres as well as military affairs. We welcome the progress towards European unity expressed in the Coal And Steel Community Euratom the European Economic Community the European Free Trade Association and the European Assembly. We shall conduct our relations with the nations of the Common Market so as to encourage the opportunities for freer and more expanded trade, and to avert the possibilities of discrimination that are inherent in it. In the meantime, we are prepared to negotiate with you whenever and wherever there is a realistic possibility of progress without sacrifice of principle. If negotiations through diplomatic channels provide opportunities we will negotiate. If debate before the United Nations holds promise, we will debate. If meetings at high level offer prospects of success, we will be there. But we will use all the power, resources, and energy at our command to resist the further encroachment of Communism on freedom, whether at Berlin, Formosa, or new points of pressure as yet undisclosed. We will keep open the lines of communication with our opponents. Despite difficulties in the way of peaceful agreements, every useful avenue will be energetically explored and pursued. However, we will never surrender positions which are essential to the defense of freedom nor will we abandon peoples who are now behind the Iron Curtain through any formal approval of the status quo. Everyone proclaims ""firmness"" in support of Berlin. The issue is not the desire to be firm, but the capability to be firm. This the Democratic Party will provide as it has done before. The ultimate solution of the situation in berlin must be approached in the broader context of settlement of the tensions and divisions of Europe. The good faith of the United States is pledged likewise to defending Formosa. We will carry out that pledge. The new Democratic Administration will also reaffirm our historic policy of opposition to the establishment anywhere in the Americas of governments dominated by foreign powers, a policy now being undermined by Soviet threats to the freedom and independence of Cuba. The Government of the United States under a Democratic Administration will not be deterred from fulfilling its obligations and solemn responsibilities under its treaties and agreements with the nations of the Western Hemisphere. Nor will the United States in conformity with its treaty obligations permit the establishment of a regime dominated by international, atheistic Communism in the Western Hemisphere. To the people who live in the Communist world and its captive nations: We proclaim an enduring friendship which goes beyond governments and ideologies to our common human interest in a better world. Through exchanges of persons, cultural contacts, trade in non-strategic areas, and other non-governmental activities, we will endeavor to preserve and improve opportunities for human relationships which no Iron Curtain can permanently sever. No political platform promise in history was more cruelly cynical than the Republican effort to buy votes in 1952 with false promises of painless liberation for the captive nations. We deeply regret that the policies and actions of the Government of Communist China have interrupted the generations of friendship between the Chinese and American peoples. We reaffirm our pledge of determined opposition to the present admission of Communist China to the United Nations. Although normal diplomatic relations between our Governments are impossible under present conditions, we shall welcome any evidence that the Chinese Communist Government is genuinely prepared to create a new relationship based on respect for international obligations, including the release of american prisoners. We will continue to make every effort to effect the release of American citizens and servicemen now injustly imprisoned in Communist China and elsewhere in the Communist empire. THE UNITED NATIONS To all our fellow members of the United Nations: We shall strengthen our commitments in this, our great continuing institution for conciliation and the growth of a world community. Through the machinery of the United Nations we shall work for disarmament the establishment of an international police force, the strengthening of the World Court, and the establishment of world law. We shall propose the bolder and more effective use of the specialized agencies to promote the world's economic and social development. Great Democratic Presidents have taken the lead in the effort to unite the nations of the world in an international organization to assure world peace with justice under law. The League of Nations conceived by Woodrow Wilson was doomed by Repubican defeat of United States participation. The United Nations sponsored by Franklin Roosevelt, has become the one place where representatives of the rival systems and interests which divide the world can and do maintain continuous contact. We will increase consumption abroad. The Democratic Party believes our nation's capacity to produce food and fiber is one of the great weapons for waging war against hunger and want throughout the world. With wise management of our food abundance we will expand trade between nations, support economic and human development programs, and combat famine. Unimaginative, outmoded Republican policies which fail to use these productive capacities of our farms have been immensely costly to our nation. They can and will be changed.",Democratic Party
1,1964,"In 1960, freedom was on the defensive. The Communists, doubting both our strength and our will to use it, pressed forward in Southeast Asia, Latin-America, Central Africa and Berlin. President Kennedy and Vice-President Johnson set out to remove any question of our power or our will. In the Cuban crisis of 1962 the Communist offensive shattered on the rock of President Kennedy's determination, and our ability, to defend the peace. Two years later, President Johnson responded to another Communist challenge, this time in the Gulf of Tonkin. By the end of 1960, military strategy was being shaped by the dictates of arbitrary budget ceilings instead of the real needs of national security. There were, for example, too few ground and air forces to fight limited war, although such wars were a means to continued Communist expansion. Since then, and at the lowest possible cost, we have created a balanced, versatile, powerful defense establishment, capable of countering aggression across the entire spectrum of conflict, from nuclear confrontation to guerrilla subversion. We have increased our intercontinental ballistic missiles and Polaris missiles from fewer than 100 to more than 1000, more than four times the force of the Soviet Union. We have increased the number of combat ready divisions from 11 to 16. Until such time as there can be an enforceable treaty providing for inspected and verified disarmament, we must, and we will, maintain our military strength, as the sword and shield of freedom and the guarantor of peace. Specifically, we must and we will: Continue the overwhelming supremacy of our Strategic Nuclear Forces. Strengthen further our forces for discouraging limited wars and fighting subversion. Maintain the world's largest research and development effort, which has initiated more than 200 new programs since 1961, to ensure continued American leadership in weapons systems and equipment. Continue the nationwide Civil Defense program as an important part of our national security. Control of the use of nuclear weapons must remain solely with the highest elected official in the country, the President of the United States. Through our policy of never negotiating from fear but never fearing to negotiate, we are slowly but surely approaching the point where effective international agreements providing for inspection and control can begin to lift the crushing burden of armaments off the backs of the people of the world. In the Nuclear Test Ban Treaty, signed now by over 100 nations, we have written our commitment to limitations on the arms race, consistent with our security. Reduced production of nuclear material for weapons purposes has been announded and nuclear weapons have been barred from outer space. Already the air we and our children breathe is freer of nuclear contamination. We are determined to continue all-out efforts through fully enforceable measures to halt and reverse the arms race and bring to an end the era of nuclear terror.   We will maintain our solemn commitment to the United Nations with its constituent agencies working to strengthen it as a more effective instrument for peace, for preventing or resolving international disputes, and for building free nations through economic, technical, and cultural development. We continue to oppose the admission of Red China to the United Nations. Be believe in increased partership with our friends and associates in the community which spans the North Atlantic. In every possible way we will work to strengthen our ties and increase our cooperation, building always more firmly on the sure foundation of the NATO treaty. We pledge unflagging devotion to our commitments to freedom from Berlin to South Vietnam. We will: Help the people of developing nations in Asia, Africa and Latin America raise their standards of living and create conditions in which freedom and independence can flourish. Place increased priority on private enterprise and development loans as we continue to improve our mutual assistance programs. Work for the attainment of peace in the Near East as an urgent goal, using our best efforts to prevent a military unbalance, to encourage arms reductions and the use of national resources for internal development and to encourage the resettlement of Arab refugees in lands where there is room and opportunity. The problems of political adjustment between Israel and the Arab countries can and must be peacefully resolved and the territorial integrity of every nation respected. Support the partnership of free American Republics in the Alliance for Progress.   Move actively to carry out the Resolution of the Organization of American States to further isolate Castroism and speed the restoration of freedom and responsibility in Cuba. Support our friends in and around the rim of the Pacific, and encourage a growing understanding among peoples, expansion of cultural exchanges, and strengthening of ties. Oppose aggression and the use of force or the threat of force against any nation. Encourage by all peaceful means the growing independence of the captive peoples living under Communism and hasten the day that Albania, Bulgaria, Czechoslovakia, East Germany, Estonia, Hungary, Latvia, Lithuania, Poland, Rumania and the other captive nations will achieve full freedom and self-determination. We deplore Communist oppression of Jews and other minorities. Encourage expansion of our economic ties with other nations of the world and eliminate unjustifiable tariff and nontariff barriers, under authority of the Trade Expansion Act of 1962. Expand the Peace Corps. Use even more of our Food for Peace. THE CONQUEST OF SPACE In four vigorous years we have moved to the forefront of space exploration.",Democratic Party
2,1968,"THE WORLD The conscience of the entire world has been shocked by the brutal and unprovoked Soviet aggression against Czechoslovakia. By this act, Moscow has confessed that it is still the prisoner of its fear of freedom. And the Czechoslovakian people have shown that the love of freedom, in their land and throughout Eastern Europe, can never be crushed. This severe blow to freedom and self-determination reinforces our commitment to the unending quest for peace and security in the world. These dark days should not obscure the solid achievements of the past eight years. Nuclear war has been avoided. West Berlin and Western Europe are still free. The blend of American power and restraint, so dramatically demonstrated in the Cuban missile crisis, earned the respect of the world and prepared the way for a series of arms control agreements with the Soviet Union. Long and patient negotiation by Presidents Kennedy and Johnson resulted in the Nuclear Test Ban, Nuclear Non-Proliferation, and Space treaties and the ""hot line."" These hard-won agreements provide the base for pursuing other measures to reduce the risk of nuclear war. The unprecedented expansion of the American economy has invigorated the whole free world. Many once skeptical nations, including some communist states, now regard American economic techniques and institutions as a model. In Asia the tragic Vietnam war has often blinded us to the quiet and constructive developments which affect directly the lives of over a billion people and the prospects for peace everywhere. An economically strong and democratic Japan has assumed a more active role in the development of the region. Indonesia has a nationalist, non-Communist government seeking to live at peace with its neighbors. Thailand, Taiwan, Singapore, Malaysia, and the Republic of Korea have more stable governments and steadily growing economies. They have been aided by American economic assistance and by the American military presence in the Pacific. They have also been encouraged by a confidence reflecting successive Presidential decisions to assist nations to live in peace and freedom. Elsewhere in the developing world, there has been hopeful political and economic progress. National Defense. The tragic events in Czechoslovakia are a shocking reminder that we live in a dangerous and unpredictable world. The Soviet attack on and invasion of a small country that only yesterday was Moscow's peaceful ally, is an ominous reversal of the slow trend toward greater freedom and independence in Eastern Europe. The reimposition of Soviet tyranny raises the spectre of the darkest days of the Stalin era and increases the risk of war in Central Europe, a war that could become a nuclear holocaust. Against this somber backdrop, whose full portent cannot now be seen, other recent Soviet military moves take on even greater significance. While we have a significant lead in military strength and in all vital areas of military technology, Moscow has steadily increased its strategic nuclear arsenal, its missile-firing nuclear submarine fleet, and its anti-missile defenses. Communist China is providing political and military support for so-called wars of national liberation. A growing nuclear power, Peking has disdained all arms control efforts. We must and will maintain a strong and balanced defense establishment adequate to the task of security and peace. There must be no doubt about our strategic nuclear capability, our capacity to meet limited challenges, and our willingness to act when our vital interests are threatened. We will consult with them and ask them to accept a fair share of the burdens of peace and security. North Atlantic Community. The North Atlantic Community is strong and free. We must further strengthen our ties and be constantly alert to new challenges and opportunities. We support a substantially larger European contribution to NATO. Soviet troops have never stepped across the border of a NATO country. By harassment and threat the Kremlin has repeatedly attempted to push the West out of Berlin. But West Berlin is still free. Western Europe is still free. This is a living tribute to the strength and validity of the NATO alliance. The political differences we have had with some of our allies from time to time should not divert us from our common task of building a secure and prosperous Atlantic community based on the principles of mutual respect and mutual dependence. The NATO alliance has demonstrated that free nations can build a common shield without sacrificing their identity and independence. Arms Control. We must recognize that vigilance calls for the twin disciplines of defense and arms control. Defense measures and arms control measures must go hand in-hand, each serving national security and the larger interests of peace. We must also recognize that the Soviet Union and the United States still have a common interest in avoiding nuclear war and preventing the spread of nuclear weapons. We also share a common interest in reducing the cost of National defense. We must continue to work together. We will press' for further arms control agreements, insisting on effective safeguards against violations. For almost a quarter of a century America's pre-eminent military strength, combined with our political restraints has deterred nuclear war. This great accomplishment has confounded the prophets of doom. Eight years ago the Democratic Party pledged new efforts to control nuclear weapons. We have fulfilled that pledge. The new Arms Control and Disarmament Agency has undertaken and coordinated important research. The sustained initiatives of President Kennedy and President Johnson have resulted in the ""hot line"" between the White House and the Kremlin, the limited Nuclear Test Ban Treaty, the Non-Proliferation Treaty, and the treaty barring the orbiting of weapons of mass destruction. Even in the present tense atmosphere, we strongly support President Johnson's effort to secure an agreement with the Soviet Union under which both states would refrain from deploying anti-missile systems. Such a treaty would result in the saving of billions of dollars and would create a climate for further arms control measures. We support concurrent efforts to freeze the present level of strategic weapons and delivery systems, and to achieve a balanced and verified reduction of all nuclear and conventional arms. The Middle East. The Middle East remains a powder keg. We must do all in our power to prevent a recurrence of war in this area. A large Soviet fleet has been deployed to the Mediterranean. Preferring short-term political advantage to long-range stability and peace, the Soviet Union has rushed arms to certain Arab states to replace those lost in the Arab-Israeli War of 1967. As long as Israel is threatened by hostile and well-armed neighbors, we will assist her with essential military equipment needed for her defense, including the most advanced types of combat aircraft. Lasting peace in the Middle East depends upon agreed and secured frontiers, respect for the territorial integrity of all States, the guaranteed right of innocent passage through all international waterways, a humane resettlement of the Arab refugees, and the establishment of a non-provocative military balance. To achieve these objectives, we support negotiations among the concerned parties. We strongly support efforts to achieve an agreement among states in the area and those states supplying arms to limit the flow of military equipment to the Middle East. We support efforts to raise the living standards throughout the area, including desalinization and regional irrigation projects which cut across state frontiers. Vietnam and Asia. Our most urgent task in Southeast Asia is to end the war in Vietnam by an honorable and lasting settlement which respects the rights of all the people of Vietnam. In our pursuit of peace and stability in the vital area of Southeast Asia we have borne a heavy burden in helping South Vietnam to counter aggression and subversion from the North. We reject as unacceptable a unilateral withdrawal of our forces which would allow that aggression and subversion to succeed. We have never demanded, and do not now demand, unconditional surrender by the Communists. We strongly support the Paris talks and applaud the initiative of President Johnson which brought North Vietnam to the peace table. We hope that Hanoi will respond positively to this act of statesmanship. In the quest for peace no solutions are free of risk. But calculated risks are consistent with the responsibility of a great nation to seek a peace of reconciliation. Recognizing that events in Vietnam and the negotiations in Paris may affect the timing and the actions we recommend we would support our Government in the following steps: Bombing - Stop all bombing of North Vietnam when this action would not endanger the lives of our troops in the field; this action should take into account the response from Hanoi. Troop Withdrawal - Negotiate with Hanoi an immediate end or limitation of hostilities and the withdrawal from South Vietnam of all foreign forces - both United States and allied forces, and forces infiltrated from North Vietnam. Election of Postwar Government - Encourage all parties and interests to agree that the choice of the postwar government of South Vietnam should be determined by fair and safeguarded elections, open to all major political factions and parties prepared to accept peaceful political processes. We would favor an effective international presence to facilitate the transition from war to peace and to assure the protection of minorities against reprisal. Interim Defense and Development Measures - Until the fighting stops, accelerate our efforts to train and equip the South Vietnamese army so that it can defend its own country and carry out cutbacks of U.S. military involvement as the South Vietnamese forces are able to take over their larger responsibilities. We should simultaneously do all in our power to support and encourage further economic, political and social development and reform in South Vietnam, including an extensive land reform program. We support President Johnson's repeated offer to provide a substantial U.S. contribution to the post-war reconstruction of South Vietnam as well as to the economic development of the entire region, including North Vietnam. Japan and the European industrial states should be urged to join in this post-war effort. For the future, we will make it clear that U.S. military and economic assistance in Asia will be selective. In addition to considerations of our vital interests and our resources, we will take into account the determination of the nations that request our help to help themselves and their willingness to help each other through regional and multilateral cooperation. We want no bases in South Vietnam; no continued military presence and no political role in Vietnamese affairs. If and when the Communists understand our basic commitment and limited goals and are willing to take their chances, as we are, on letting the choice of the post-war government of South Vietnam be determined freely and peacefully by all of the South Vietnamese people, then the bloodshed and the tragedy can stop. Japan, India, Indonesia, and most of the smaller Asian nations are understandably apprehensive about Red China because of its nuclear weapons, its support of subversive efforts abroad, and its militant rhetoric. They have been appalled by the barbaric behavior of the Red Guards toward the Chinese people, their callous disregard for human life and their mistreatment of foreign diplomats. The immediate prospects that China will emerge from its self-imposed isolation are dim. But both Asians and Americans will have to coexist with the 750 million Chinese on the mainland. We shall continue to make it clear that we are prepared to cooperate with China whenever it is ready to become a responsible member of the international community. We would actively encourage economic, social and cultural exchange with mainland China as a means of freeing that nation and her people from their narrow isolation. We support continued assistance to help maintain the independence and peaceful development of India and Pakistan. Recognizing the growing importance of Asia and the Pacific, we will encourage increased cultural and educational efforts, such as those undertaken in multi-racial Hawaii, to facilitate a better understanding of the problems and opportunities of this vast area. The Developing World. The American people share the aspirations for a better life in the developing world. But we are committed to peaceful change. We believe basic political rights in most states can be more effectively achieved and maintained by peaceful action than by violence. In their struggle for political and economic development, most Asian, African, and Latin American states are confronted by grinding poverty, illiteracy and a stubborn resistance to constructive change. The aspirations and frustrations of the people are frequently exploited by self-serving revolutionaries who employ illegal and violent means. Since World War II, America's unprecedented program of foreign economic assistance for reconstruction and development has made a profound contribution to peace, security, and a better life for millions of people everywhere. Many nations formerly dependent upon American aid are now viable and stable as a result of this aid. We support strengthened U.S. and U.N. development aid programs that are responsive to changing circumstances and based on the recognition, as President Johnson put it, that ""self-help is the lifeblood of economic development."" Grant aid and government loans for long-term projects are part of a larger transfer of resources between the developed and underdeveloped states, which includes international trade and private capital investment as important components. Like the burden of keeping the peace, the responsibility for assisting the developing world must be shared by Japan and the Western European states, once recipients of U.S. aid and now donor states. Development aid should be coordinated among both donors and recipients. The World Bank and other international and regional agencies for investment and development should be fully utilized. We support the Peace Corps which has sent thousands of ambassadors of good will to three continents. Cultural and historic ties and a common quest for peace with freedom and justice have made Latin America an area of special concern and interest to the United States. We support a vigorous Alliance for Progress program based upon the Charter of Punta del Este which affirms that ""free men working through the institutions for representative democracy can best satisfy man's aspirations."" We support the objective of Latin American economic integration endorsed by the presidents of the American Republics in April 1967, and urge further efforts in the areas of tax reform, land reform, educational reform, and economic development to fulfill the promise of Punta del Este. United Nations. Since the birth of the United Nations, the United States has pursued the quest for peace, security and human dignity through United Nations channels more vigorously than any other member state. Our dedication to its purpose and its work remains undiminished. The United Nations contributed to dampening the fires of conflict in Kashmir, the Middle East, Cyprus and the Congo. The agencies of the United Nations have made a significant contribution to health, education and economic well-being in Asia, Africa and Latin America. These efforts deserve continued and expanded support. We pledge that support. Since we recognize that the United Nations can be only as effective as the support of its members, we call upon other states to join with us in a renewed commitment to use its facilities in the great tasks of economic development, the nonmilitary use of atomic energy, arms control and peacekeeping. It is only with member nations working together that the organization can make its full contribution to the growth of a world community of peace under law, rather than by threat or use of military force. We are profoundly concerned about the continued repression of Jews and other minorities in the Soviet Union and elsewhere, and look forward to the day when the full light of liberty and freedom shall be extended to all countries and all peoples. Foreign Trade and Financial Policy. World trade is essential to economic stability. The growing interdependence of nations, particularly in economic affairs, is an established fact of contemporary life. It also spells an opportunity for constructive international cooperation that will bring greater well-being for all and improve the prospects for international peace and security. We shall build upon the Trade Expansion Act of 1962 and the Kennedy round of trade negotiations, in order to achieve greater trade cooperation and progress toward freer international trade. In future negotiations, which will require careful preparation, we shall: 1) seek continued reciprocal reduction and elimination of tariff barriers, based on the most favored nation principle; 2) negotiate the reciprocal removal of nontariff barriers to international trade on all products, including agriculture; 3) give special attention to the needs of the developing countries for increased export earnings; and 4) develop and improve the rules governing fair international competition affecting both foreign commerce and investment. To lessen the hardships suffered by industries and workers as the result of trade liberalization, we support improvements in the adjustment assistance provisions of present law. Provision of law to remedy unfair and destructive import competition should be reviewed and strengthened, and negotiated international agreements to achieve this purpose should be employed where appropriate. The United States has experienced balance-of-payments deficits for over a decade, mainly because of our security obligations to the free world. Faced with these deficits, we have behaved responsibly by avoiding both economic deflation at home and severe and unilateral restrictive measures on international transactions, which would have weakened the international economy and international cooperation. Faced with these deficits, we have behaved responsibly by avoiding both economic deflation at home and severe and unilateral restrictive measures on international transactions, which would have weakened the international economy and international cooperation.",Democratic Party
